;statement;issue;person;channel;truth
211;"""There is no law that deals specifically with the term ‘partial-birth abortion.’”";abortion;Xavier Becerra; in testimony before a House subcommittee;false
212;"Says Chelsea Clinton tweeted, ""If Jesus were alive today he'd be working at Planned Parenthood.""";abortion;Facebook posts; in a Facebook post;pants-fire
213;“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”;abortion;Facebook posts; in a Facebook post;barely-true
214;Former President Donald Trump wants to take away the Affordable Care Act.;ad-watch;Kamala Harris; in a campaign ad;half-true
215;Clips of Nikki Haley speaking about Hillary Clinton show Haley supports Clinton and is “not who she says she is.”;ad-watch;Fight Right Inc.; in an ad;false
216;"“(Raphael) Warnock’s camp was shut down for failing to report five findings of child abuse and neglect.""";ad-watch;Herschel Walker; in an ad;half-true
217;"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""";ad-watch;Liquid Death; in an ad;true
218;"“Kamala Harris said disaster aid should go to non-white citizens first.""";ad-watch;America First Legal; in an ad;false
219;“Biden and Democrats have dismantled border security.”;ad-watch;Adam Laxalt; in an ad;false
220;"""Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.""";ad-watch;Georgia Gun Owners; in an ad;pants-fire
221;“Marco Rubio le ha votado en contra a los Dreamers”.;ad-watch;Florida Immigrant Coalition; in un anuncio de campaña;half-true
222;"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""";ad-watch;Liz Cheney; in an ad;mostly-true
223;"""Don Bolduc wants to cut trillions from Medicare and end Social Security.""";ad-watch;Maggie Hassan; in an ad;mostly-true
224;"Catherine Cortez Masto ""was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.";ad-watch;Club for Growth Action; in an ad;barely-true
225;Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.;ad-watch;Citizens for Sanity; in an ad;false
226;“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”;ad-watch;Citizens for Sanity; in an ad;barely-true
227;"Mark Kelly ""voted to allow prison inmates to receive stimulus checks five separate times.""";ad-watch;Saving Arizona PAC; in an ad;barely-true
228;A dog endured “unimaginable pain and suffering” during heart research experiments, “just one of 300 killed in (Dr. Mehmet) Oz’s lab.”;ad-watch;Senate Majority PAC; in an ad;half-true
229;As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”;ad-watch;Club for Growth; in an ad;barely-true
230;Says Adam Laxalt said it is “good news” that “a lot of those Hispanic small businesses never reopened” after the pandemic.;ad-watch;Catherine Cortez Masto; in an ad;false
231;Adam Laxalt “would let Nevada and other states ban abortion with zero exceptions.”;ad-watch;Democratic Senatorial Campaign Committee; in an ad;half-true
232;"Val Demings ""voted to allow transgender youth sports and teaching radical gender identity without parental consent.""";ad-watch;Marco Rubio; in an ad;half-true
233;Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”;ad-watch;Democratic Senatorial Campaign Committee; in ads;true
234;Blake Masters does not support abortion exceptions for rape and incest.;ad-watch;Senate Majority PAC; in an ad;mostly-true
235;"As a mayor, ""John Fetterman chased down an innocent, unarmed Black man,"" wielded a shotgun and ""falsely accused the man, triggering a confrontation with police.""";ad-watch;American Leadership Action; in an ad;mostly-true
236;Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”;ad-watch;CatholicVote; in an ad;barely-true
237;"Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""";ad-watch;American Action Network; in an ad;barely-true
238;Blake Masters “wants to pass a national ban on abortion.”;ad-watch;Mark Kelly; in an ad;mostly-true
239;On privatizing Social Security.;ad-watch;Blake Masters; in an interview;half-flip
240;"The Inflation Reduction Act ""doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.""";ad-watch;Tom Cotton; in an ad;barely-true
241;"""Brian Kemp wants to investigate and punish women for having miscarriages.""";ad-watch;Stacey Abrams; in an ad;false
242;"""Adam Laxalt fought an investigation into the oil industry, then they funded his campaign.""";ad-watch;Catherine Cortez Masto; in an ad;half-true
243;"John Fetterman wants to “eliminate life sentences for murderers.""";ad-watch;Mehmet Oz; in an ad;barely-true
244;Raphael Warnock and Catherine Cortez Masto “voted to allow hundreds of millions of dollars of COVID relief funds to be squandered” on leisure projects.;ad-watch;One Nation; in ads;half-true
245;Instead of fighting opioid  addiction, a nonprofit founded by J.D. Vance paid his “top political adviser” and funded “political polling.”;ad-watch;Tim Ryan; in an ad;mostly-true
246;“John Fetterman wants to release one-third of dangerous criminals back into our communities.”;ad-watch;Mehmet Oz; in an ad;barely-true
247;Mehmet Oz “wants to make abortion a crime in Pennsylvania.”;ad-watch;Planned Parenthood Votes; in an ad;half-true
248;Abortion is available at any point of pregnancy and for any reason in Alaska, Colorado, New Jersey, New Mexico, Oregon and Vermont.;ad-watch;Focus on the Family; in ads;barely-true
249;"J.D. Vance ""wants to defund law enforcement.""";ad-watch;Tim Ryan; in an ad;half-true
250;"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""";ad-watch;Catherine Cortez Masto; in an ad;mostly-true
251;"Adam Laxalt ""supports eliminating Nevada's protections for legal abortions.""";ad-watch;Catherine Cortez Masto; in an ad;half-true
252;“Zach Nunn took money from Adventureland’s CEO, then sponsored legislation to loosen amusement park safety rules. A child died. Zach Nunn put his big donor first, ahead of the safety of Iowa families.”;ad-watch;Cindy Axne; in a campaign ad;barely-true
253;"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""";ad-watch;Brian Kemp; in an ad;barely-true
254;"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""";ad-watch;Our American Century; in an ad;half-true
255;"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""";ad-watch;Aaron Lieberman; in an ad;barely-true
256;Mehmet Oz is “pro-abortion.”;ad-watch;Dave McCormick; in an ad;barely-true
257;"Matt Dolan sponsored Michael Bloomberg's “red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.""";ad-watch;Ohio Gun Owners; in an ad;false
258;Says J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”;ad-watch;Club for Growth; in an attack ad;false
259;Mehmet Oz “was a spokesman for a group who wanted to defund the police.”;ad-watch;Pennsylvania Conservative Fund; in an ad;false
260;“J.D. Vance called for higher taxes.”;ad-watch;Mike Gibbons; in an ad;half-true
261;"""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""";ad-watch;Mike Gibbons; in an ad;barely-true
262;"Dave McCormick is ""liberal, pro-Biden, pro-China.""";ad-watch;Mehmet Oz; in an ad;false
263;"Mehmet Oz ""called for a New Zealand-style gun ban"" and said ""Americans should have less access to guns.""";ad-watch;Dave McCormick; in an ad;mostly-true
264;"Brian Kemp ""dismissed concerns about voter fraud in the 2020 election"" and ""widespread illegal ballot harvesting continued, electing two Democrat senators.""";ad-watch;Get Georgia Right; in an ad;false
265;“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”;ad-watch;Evan McMullin; in an ad;half-true
266;"“A secret backroom deal"" gave ""away hundreds of millions of tax dollars to a Soros-owned company.""";ad-watch;David Perdue; in an ad;barely-true
267;"""John Fetterman's a self-described democratic socialist.""";ad-watch;Penn Progress; in an ad;false
268;"“Senate Republicans’ plan"" would ""end Social Security"" and ""end Medicare.""";ad-watch;Democratic Senatorial Campaign Committee; in an ad;barely-true
269;"Says Mike Gibbons said ""military service doesn't count as real work.""";ad-watch;Josh Mandel; in an ad;false
270;"""David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia.""";ad-watch;Mehmet Oz; in an ad;barely-true
271;"Ketanji Brown Jackson has ""a weak record — defund police, abolish ICE and now a completely open border policy.""";ad-watch;Mick McGuire; in an ad;pants-fire
272;"Mo Brooks ""voted to cut off funding to destroy ISIS terrorists in the middle of the fight.""";ad-watch;Alabama's Future; in an ad;barely-true
